SEARCH_STRING,L1_CATEGORY,L2_CATEGORY,TOTAL_SEARCH,TOTAL_A2C,Q2C_PCT,MRR_PCT
condom,hygiene and wellness,sexual wellness,301527,169845,56.33,43.61
shampoo,bath body and hair,shampoo and conditioner,272715,114831,42.11,32.05
toothbrush,hygiene and wellness,oral care,271687,183917,67.69,45.30
toothpaste,hygiene and wellness,oral care,270524,169126,62.52,40.78
coconut oil,bath body and hair,hair oil and serum,255942,127460,49.80,47.46
handwash,hygiene and wellness,hand wash and sanitizer,211000,147319,69.82,39.35
face wash,bath body and hair,face wash and scrub,209969,93619,44.59,31.46
body wash,bath body and hair,shower gel,193469,108607,56.14,33.98
lip balm,beauty and grooming,face and lip care,193100,71933,37.25,28.13
body lotion,bath body and hair,body lotion,176957,92599,52.33,33.29
sanitary pads,hygiene and wellness,feminine hygiene,147519,94384,63.98,41.06
sunscreen,bath body and hair,face cream,129633,51573,39.78,33.35
perfumes,bath body and hair,"perfumes, deos and talc",124953,33606,26.89,22.19
colgate,hygiene and wellness,oral care,120298,65835,54.73,45.93
pads,hygiene and wellness,feminine hygiene,119186,75677,63.49,42.73
soap,bath body and hair,soap,115665,51793,44.78,33.51
soaps,bath body and hair,soap,114252,60362,52.83,35.17
pregnancy kit,hygiene and wellness,basic pharma,109919,66706,60.69,71.56
dettol,hygiene and wellness,wound care and pain relief,104877,65026,62.00,56.23
lipstick,makeup,lip makeup,101164,24669,24.39,24.34
cetaphil,bath body and hair,face wash and scrub,99194,27740,27.97,49.86
whisper,hygiene and wellness,feminine hygiene,93680,57898,61.80,45.77
moisturizer,bath body and hair,body lotion,88319,27365,30.98,25.11
vaseline,bath body and hair,body lotion,87965,42369,48.17,42.88
hair colour,beauty and grooming,hair colour,87135,31243,35.86,31.69
conditioner,bath body and hair,shampoo and conditioner,86240,47610,55.21,42.14
cetaphil cleanser,bath body and hair,face wash and scrub,85718,25383,29.61,65.11
perfume,bath body and hair,"perfumes, deos and talc",84232,18805,22.33,21.04
hair serum,bath body and hair,hair oil and serum,83220,38739,46.55,35.66
stayfree,hygiene and wellness,feminine hygiene,82832,53907,65.08,51.26
vicks,hygiene and wellness,basic pharma,82150,46368,56.44,54.44
face mask,beauty and grooming,face and lip care,78334,26637,34.00,37.15
period panties,hygiene and wellness,feminine hygiene,71858,47435,66.01,48.64
hair oil,bath body and hair,hair oil and serum,70465,31316,44.44,32.88
sensodyne,hygiene and wellness,oral care,67994,35205,51.78,55.96
nua,hygiene and wellness,feminine hygiene,65771,38182,58.05,54.26
medicine,hygiene and wellness,basic pharma,65199,3944,6.05,27.81
mask,hygiene and wellness,basic pharma,64311,15610,24.27,51.72
adult diaper,hygiene and wellness,basic pharma,63209,35763,56.58,51.77
