SEARCH_STRING,L1_CATEGORY,L2_CATEGORY,CURRENT_WEEK_VOLUME,PREV_WEEK_VOLUME,WOW_GROWTH_PCT,ZERO_RESULT_RATE
soap paper,hygiene and wellness,hand wash and sanitizer,2451,259,846.33,0.04
shampoo sachets,bath body and hair,shampoo and conditioner,1443,210,587.14,0.00
boroline antiseptic cream,bath body and hair,face cream,584,101,478.22,0.00
sanfe exfoliating,bath body and hair,face cream,668,132,406.06,0.00
cetaphil moisturizer,bath body and hair,body lotion,569,114,399.12,0.00
small shampoo,bath body and hair,shampoo and conditioner,732,166,340.96,0.00
beard colour,beauty and grooming,hair colour,896,211,324.64,0.00
bblunt heat protection,bath body and hair,hair oil and serum,876,218,301.83,0.00
small toothpaste,hygiene and wellness,oral care,830,220,277.27,0.00
niine sanitary napkins,hygiene and wellness,feminine hygiene,524,141,271.63,0.00
pantyliners,hygiene and wellness,feminine hygiene,5983,1611,271.38,0.00
vilvah serum,beauty and grooming,face and lip care,501,136,268.38,0.00
attar ayurveda indigo,beauty and grooming,hair colour,557,153,264.05,0.00
cerave face wash,beauty and grooming,face makeup,733,204,259.31,0.14
molecular sunscreen,bath body and hair,face cream,712,201,254.23,0.00
cera ve cleanser,beauty and grooming,face makeup,603,206,192.72,0.00
gillette guard razor,beauty and grooming,shaving needs,821,290,183.10,0.00
brown shoe polish,beauty and grooming,mens grooming,525,187,180.75,0.19
shampoo packets,bath body and hair,shampoo and conditioner,542,196,176.53,0.00
preganews,hygiene and wellness,basic pharma,1590,580,174.14,0.38
mehndi,beauty and grooming,hair colour,1118,408,174.02,0.00
l'oreal paris l'oreal glycolic shampoo,bath body and hair,shampoo and conditioner,588,220,167.27,0.00
soft pads,hygiene and wellness,feminine hygiene,612,229,167.25,0.16
aroma magic facial kit,beauty and grooming,face and lip care,1844,750,145.87,0.05
white shoe polish,beauty and grooming,mens grooming,643,262,145.42,0.16
bold care condoms,hygiene and wellness,sexual wellness,687,282,143.62,0.15
eye care,beauty and grooming,eye care,561,231,142.86,0.00
indus valley hair colour,beauty and grooming,hair colour,616,257,139.69,0.32
powder handwash,hygiene and wellness,hand wash and sanitizer,767,321,138.94,0.00
ethiglo face wash,bath body and hair,face wash and scrub,588,247,138.06,0.00
face care,beauty and grooming,face and lip care,1067,452,136.06,0.00
sanitary pads xxl,hygiene and wellness,feminine hygiene,610,260,134.62,0.00
small soap,bath body and hair,soap,713,305,133.77,0.14
durex extra time condoms,hygiene and wellness,sexual wellness,781,341,129.03,0.00
gift set,beauty and grooming,gift packs,2744,1246,120.22,0.00
garnier colour,beauty and grooming,hair colour,3128,1437,117.68,0.03
mens face wash,bath body and hair,face wash and scrub,1016,468,117.09,0.00
white tone powder,bath body and hair,"perfumes, deos and talc",631,294,114.63,0.00
lifebuoy soap,bath body and hair,soap,2056,1007,104.17,0.00
stick on nails,makeup,nail paints and accessories,526,259,103.09,0.00
whisper wellness,hygiene and wellness,feminine hygiene,558,275,102.91,0.18
men deodorant,bath body and hair,"perfumes, deos and talc",549,271,102.58,0.00
ghar face wash,bath body and hair,face wash and scrub,684,340,101.18,0.00
ghar soaps,bath body and hair,soap,11148,5639,97.69,0.04
the derma co face wash,bath body and hair,face wash and scrub,951,482,97.30,0.00
lux soaps,bath body and hair,soap,505,256,97.27,0.00
plum moisturizer,bath body and hair,face cream,730,373,95.71,0.00
hair setting spray,beauty and grooming,mens grooming,872,448,94.64,0.00
nua xxxl,hygiene and wellness,feminine hygiene,567,293,93.52,0.18
stayfree pad,hygiene and wellness,feminine hygiene,3469,1802,92.51,0.00
whisper sanitary pads,hygiene and wellness,feminine hygiene,1542,803,92.03,0.00
the derma co sunscreen,bath body and hair,face cream,594,310,91.61,0.00
whisper night,hygiene and wellness,feminine hygiene,972,510,90.59,0.00
body wash for men,bath body and hair,shower gel,800,420,90.48,0.00
stayfree pads,hygiene and wellness,feminine hygiene,5542,2927,89.34,0.02
whisper period panty,hygiene and wellness,feminine hygiene,1842,984,87.20,0.05
vibrator,hygiene and wellness,sexual wellness,3939,2111,86.59,0.00
sofy sanitary pads,hygiene and wellness,feminine hygiene,849,456,86.18,0.00
face hair removal,beauty and grooming,hair removal,634,351,80.63,0.00
palmolive,bath body and hair,shower gel,1251,693,80.52,0.00
loreal conditioner,bath body and hair,shampoo and conditioner,590,327,80.43,0.17
sanfe cream,bath body and hair,face cream,939,523,79.54,0.00
lip balm for men,beauty and grooming,face and lip care,1020,573,78.01,0.10
insight cosmetics,makeup,face makeup,2111,1191,77.25,0.00
parachute coconut oil,bath body and hair,hair oil and serum,5154,2926,76.14,0.00
vaseline lotion,bath body and hair,body lotion,3734,2124,75.80,0.11
indica hair color,beauty and grooming,hair colour,624,355,75.77,0.00
stayfree sanitary pads,hygiene and wellness,feminine hygiene,574,332,72.89,0.17
nua pad,hygiene and wellness,feminine hygiene,2820,1642,71.74,0.00
indus valley hair color,beauty and grooming,hair colour,506,295,71.53,0.00
cetaphil lotion,bath body and hair,body lotion,2727,1604,70.01,0.00
renee lipstick,makeup,lip makeup,954,564,69.15,0.00
sweat pad,hygiene and wellness,feminine hygiene,1026,607,69.03,0.00
colgate white,hygiene and wellness,oral care,557,331,68.28,0.00
colgate paste,hygiene and wellness,oral care,2562,1528,67.67,0.00
brush tooth,hygiene and wellness,oral care,519,312,66.35,0.00
vicco turmeric cream,bath body and hair,face cream,504,304,65.79,0.00
mysore sandal soaps,bath body and hair,soap,6195,3752,65.11,0.03
rexona soap,bath body and hair,soap,1424,865,64.62,0.00
insight cosmetics concealer,makeup,face makeup,920,563,63.41,0.00
men razor,beauty and grooming,shaving needs,524,322,62.73,0.00
garnier facewash,bath body and hair,face wash and scrub,510,314,62.42,0.00
false eye lashes,makeup,eye makeup,549,339,61.95,0.00
jo soap,bath body and hair,soap,1019,634,60.73,0.10
deconstruct sunscreen,bath body and hair,face cream,1517,944,60.70,0.00
whisper xxl,hygiene and wellness,feminine hygiene,3884,2425,60.16,0.00
dermatouch face wash,beauty and grooming,face wash and scrub,908,567,60.14,0.11
gifts for men,bath body and hair,"perfumes, deos and talc",1612,1008,59.92,0.00
patanjali face wash,bath body and hair,face wash and scrub,669,421,58.91,0.00
shampoo pouch,bath body and hair,shampoo and conditioner,1347,849,58.66,0.00
medical gloves,hygiene and wellness,wound care and pain relief,864,547,57.95,0.00
crack cream,hygiene and wellness,basic pharma,821,522,57.28,0.00
alta,beauty and grooming,alta,1172,746,57.10,0.00
natural loofah,beauty and grooming,beauty accessories,534,341,56.60,0.00
maybelline mascara,makeup,eye makeup,639,409,56.23,0.00
shampoo small,bath body and hair,shampoo and conditioner,510,328,55.49,0.00
nivea lotion,bath body and hair,body lotion,4138,2663,55.39,0.00
acne spot corrector,bath body and hair,face cream,630,406,55.17,0.00
face bleach,beauty and grooming,face and lip care,1656,1069,54.91,0.00
hyphen serum,beauty and grooming,face and lip care,1845,1196,54.26,0.00
