search_string,l1_category,l2_category,emerging_score,confidence,opportunity_type,internal_volume,internal_wow_growth,google_interest,category_availability,top_oos_reason
soap paper,hygiene and wellness,hand wash and sanitizer,69.2,medium,supply_constrained,2451,846.33,0,62.44,oos_9.fillrate Issue
shampoo sachets,bath body and hair,shampoo and conditioner,53.64,low,demand_surge,1443,587.14,0,72.98,oos_9.fillrate Issue
boroline antiseptic cream,bath body and hair,face cream,46.76,low,demand_surge,584,478.22,0,78.41,oos_9.fillrate Issue
sanfe exfoliating,bath body and hair,face cream,42.21,low,demand_surge,668,406.06,0,78.41,oos_9.fillrate Issue
cetaphil moisturizer,bath body and hair,body lotion,41.77,low,demand_surge,569,399.12,0,74.08,oos_9.fillrate Issue
small shampoo,bath body and hair,shampoo and conditioner,38.1,low,demand_surge,732,340.96,0,72.98,oos_9.fillrate Issue
beard colour,beauty and grooming,hair colour,37.07,low,supply_constrained,896,324.64,0,63.34,oos_9.fillrate Issue
bblunt heat protection,bath body and hair,hair oil and serum,35.63,low,supply_constrained,876,301.83,0,68.37,oos_9.fillrate Issue
small toothpaste,hygiene and wellness,oral care,34.08,low,supply_constrained,830,277.27,0,58.49,oos_9.fillrate Issue
niine sanitary napkins,hygiene and wellness,feminine hygiene,33.72,low,supply_constrained,524,271.63,0,62.01,oos_9.fillrate Issue
pantyliners,hygiene and wellness,feminine hygiene,33.71,medium,supply_constrained,5983,271.38,0,62.01,oos_9.fillrate Issue
vilvah serum,beauty and grooming,face and lip care,33.52,low,demand_surge,501,268.38,0,75.56,oos_10.Planning Ordering Issue
attar ayurveda indigo,beauty and grooming,hair colour,33.24,low,supply_constrained,557,264.05,0,63.34,oos_9.fillrate Issue
molecular sunscreen,bath body and hair,face cream,32.62,low,demand_surge,712,254.23,0,78.41,oos_9.fillrate Issue
mehndi,beauty and grooming,hair colour,32.36,medium,supply_constrained,1118,174.02,16,63.34,oos_9.fillrate Issue
cerave face wash,beauty and grooming,face makeup,30.14,low,demand_surge,733,259.31,0,71.1,oos_9.fillrate Issue
cera ve cleanser,beauty and grooming,face makeup,28.74,low,demand_surge,603,192.72,0,71.1,oos_9.fillrate Issue
gillette guard razor,beauty and grooming,shaving needs,28.13,low,supply_constrained,821,183.1,0,69.88,oos_9.fillrate Issue
shampoo packets,bath body and hair,shampoo and conditioner,27.72,low,demand_surge,542,176.53,0,72.98,oos_9.fillrate Issue
l'oreal paris l'oreal glycolic shampoo,bath body and hair,shampoo and conditioner,27.13,low,demand_surge,588,167.27,0,72.98,oos_9.fillrate Issue
eye care,beauty and grooming,eye care,25.59,low,demand_surge,561,142.86,0,80,Unknown
powder handwash,hygiene and wellness,hand wash and sanitizer,25.35,low,supply_constrained,767,138.94,0,62.44,oos_9.fillrate Issue
ethiglo face wash,bath body and hair,face wash and scrub,25.29,low,demand_surge,588,138.06,0,72.43,oos_9.fillrate Issue
face care,beauty and grooming,face and lip care,25.16,low,demand_surge,1067,136.06,0,75.56,oos_10.Planning Ordering Issue
sanitary pads xxl,hygiene and wellness,feminine hygiene,25.07,low,supply_constrained,610,134.62,0,62.01,oos_9.fillrate Issue
gift set,beauty and grooming,gift packs,25.06,medium,demand_surge,2744,120.22,3,80,Unknown
aroma magic facial kit,beauty and grooming,face and lip care,24.78,low,demand_surge,1844,145.87,0,75.56,oos_10.Planning Ordering Issue
durex extra time condoms,hygiene and wellness,sexual wellness,24.72,low,demand_surge,781,129.03,0,79.08,oos_10.Planning Ordering Issue
brown shoe polish,beauty and grooming,mens grooming,24.18,low,supply_constrained,525,180.75,0,69.9,oos_9.fillrate Issue
mens face wash,bath body and hair,face wash and scrub,23.97,low,demand_surge,1016,117.09,0,72.43,oos_9.fillrate Issue
soft pads,hygiene and wellness,feminine hygiene,23.93,low,supply_constrained,612,167.25,0,62.01,oos_9.fillrate Issue
white tone powder,bath body and hair,"perfumes, deos and talc",23.81,low,demand_surge,631,114.63,0,82.3,oos_9.fillrate Issue
garnier colour,beauty and grooming,hair colour,23.4,medium,supply_constrained,3128,117.68,0,63.34,oos_9.fillrate Issue
