SEARCH_STRING,L1_CATEGORY,L2_CATEGORY,CURRENT_VOLUME,ZERO_RESULT_RATE,PREV_VOLUME,MOM_GROWTH_PCT
condom,hygiene and wellness,sexual wellness,70033,0.03,328803,-78.70
toothbrush,hygiene and wellness,oral care,64670,0.01,302682,-78.63
shampoo,bath body and hair,shampoo and conditioner,59042,0.05,278609,-78.81
toothpaste,hygiene and wellness,oral care,58871,0.00,291317,-79.79
coconut oil,bath body and hair,hair oil and serum,58411,0.01,271175,-78.46
handwash,hygiene and wellness,hand wash and sanitizer,48810,0.00,235460,-79.27
face wash,bath body and hair,face wash and scrub,47776,0.03,222205,-78.50
body wash,bath body and hair,shower gel,43615,0.01,210630,-79.29
sanitary pads,hygiene and wellness,feminine hygiene,32552,0.07,164042,-80.16
lip balm,beauty and grooming,face and lip care,32378,0.04,199795,-83.79
soaps,bath body and hair,soap,32027,0.12,131958,-75.73
pads,hygiene and wellness,feminine hygiene,30786,0.01,136383,-77.43
sunscreen,bath body and hair,face cream,29968,0.02,130413,-77.02
soap,bath body and hair,soap,29278,0.10,130150,-77.50
colgate,hygiene and wellness,oral care,26761,0.01,122965,-78.24
dettol,hygiene and wellness,wound care and pain relief,25970,0.00,117915,-77.98
body lotion,bath body and hair,body lotion,25439,0.07,168201,-84.88
pregnancy kit,hygiene and wellness,basic pharma,25066,0.07,123314,-79.67
whisper,hygiene and wellness,feminine hygiene,24136,0.02,97138,-75.15
stayfree,hygiene and wellness,feminine hygiene,20871,0.03,92449,-77.42
perfumes,bath body and hair,"perfumes, deos and talc",20151,0.04,131469,-84.67
hair colour,beauty and grooming,hair colour,19760,0.01,89749,-77.98
cetaphil,bath body and hair,face wash and scrub,19299,0.03,105274,-81.67
hair serum,bath body and hair,hair oil and serum,18712,0.03,90123,-79.24
conditioner,bath body and hair,shampoo and conditioner,18517,0.02,89880,-79.40
period panties,hygiene and wellness,feminine hygiene,17417,0.04,81942,-78.74
face mask,beauty and grooming,face and lip care,17111,0.03,85100,-79.89
hair oil,bath body and hair,hair oil and serum,16535,0.02,78071,-78.82
sensodyne,hygiene and wellness,oral care,16045,0.01,75066,-78.63
razor,beauty and grooming,hair removal,16022,0.00,66625,-75.95
l'oreal shampoo,bath body and hair,shampoo and conditioner,16013,0.01,69539,-76.97
moisturizer,bath body and hair,body lotion,15968,0.00,65775,-75.72
lipstick,makeup,lip makeup,15870,0.02,81365,-80.50
vicks,hygiene and wellness,basic pharma,15824,0.01,90134,-82.44
cetaphil cleanser,bath body and hair,face wash and scrub,15228,0.03,96500,-84.22
vaseline,bath body and hair,body lotion,15210,0.03,84558,-82.01
adult diaper,hygiene and wellness,basic pharma,15112,0.06,69208,-78.16
pimple patch,beauty and grooming,face and lip care,14631,0.01,65617,-77.70
tongue cleaner,hygiene and wellness,oral care,14323,0.02,70043,-79.55
medicine,hygiene and wellness,basic pharma,14249,0.05,72077,-80.23
nua,hygiene and wellness,feminine hygiene,14083,0.03,74715,-81.15
pears,bath body and hair,soap,13795,0.05,68440,-79.84
paste,hygiene and wellness,oral care,12990,0.00,62786,-79.31
kajal,makeup,eye makeup,12427,0.03,57468,-78.38
nail cutter,makeup,makeup brushes and tools,12076,0.02,48709,-75.21
dove shampoo,bath body and hair,shampoo and conditioner,11761,0.01,48630,-75.82
perfume,bath body and hair,"perfumes, deos and talc",11706,0.08,67263,-82.60
ghar soaps,bath body and hair,soap,11591,0.03,26212,-55.78
mysore sandal,bath body and hair,soap,11576,0.44,48943,-76.35
pears soap,bath body and hair,soap,11545,0.02,50668,-77.21
dettol handwash,hygiene and wellness,hand wash and sanitizer,11446,0.00,52637,-78.25
prega news,hygiene and wellness,basic pharma,11414,0.07,46363,-75.38
parachute,bath body and hair,hair oil and serum,11263,0.02,55678,-79.77
pad,hygiene and wellness,feminine hygiene,11037,0.00,50073,-77.96
dove soaps,bath body and hair,soap,11002,0.02,55320,-80.11
