rank,search_string,l1_category,l2_category,current_volume,mom_growth_pct,emerging_score,confidence,passed_gates
1,pantyliners,hygiene and wellness,feminine hygiene,5626,113.03,99.87,Medium,True
2,cera ve,bath body and hair,body lotion,4243,-54.07,54.81,Low,True
3,close up,hygiene and wellness,oral care,4343,-54.9,54.79,Low,True
4,ghar soaps,bath body and hair,soap,11591,-55.78,54.44,Medium,True
5,vibrator,hygiene and wellness,sexual wellness,3859,-59.11,53.65,Low,True
6,pond's moisture,bath body and hair,face cream,5237,-60.75,53.02,Medium,True
7,whisper pad,hygiene and wellness,feminine hygiene,5685,-60.59,52.94,Medium,True
8,stayfree pad,hygiene and wellness,feminine hygiene,3131,-61.82,52.8,Low,True
9,mehendi,beauty and grooming,hair colour,4889,-65.7,51.88,Low,True
10,mysore sandal soaps,bath body and hair,soap,6127,-65.49,51.75,Medium,True
11,sanfe,bath body and hair,face cream,4394,-66.02,51.72,Low,True
12,whisper xxl,hygiene and wellness,feminine hygiene,3947,-67.59,51.36,Low,True
13,listerine,hygiene and wellness,oral care,3633,-69.67,50.51,Low,True
14,cetaphil soap,bath body and hair,soap,4271,-71.97,50.19,Low,True
15,sofy pad,hygiene and wellness,feminine hygiene,4972,-72.17,49.97,Low,True
16,stayfree pads,hygiene and wellness,feminine hygiene,5448,-72.13,49.95,Low,True
17,nua pads,hygiene and wellness,feminine hygiene,5122,-72.75,49.89,Low,True
18,santoor soap,bath body and hair,soap,4817,-72.95,49.78,Low,True
19,gillette,beauty and grooming,shaving needs,4646,-73.7,49.73,Low,True
20,colgate toothpaste,hygiene and wellness,oral care,4999,-73.8,49.7,Low,True
21,dove soap,bath body and hair,soap,7510,-73.45,49.64,Low,True
22,hair dye,beauty and grooming,hair colour,4235,-74.07,49.63,Low,True
23,sensodyne toothpaste,hygiene and wellness,oral care,9177,-74.14,49.61,Low,True
24,dettol soap,bath body and hair,soap,6087,-74.21,49.59,Low,True
25,dabur red toothpaste,hygiene and wellness,oral care,4132,-74.38,49.54,Low,True
26,fiama soap,bath body and hair,soap,3422,-74.72,49.45,Low,True
27,shoe polish,beauty and grooming,mens grooming,6384,-74.36,49.41,Low,True
28,hair spray,beauty and grooming,mens grooming,4212,-74.53,49.4,Low,True
29,primer,makeup,face makeup,3738,-75.03,49.37,Low,True
30,dove body wash,bath body and hair,shower gel,6755,-75.2,49.32,Low,True
31,whisper ultra,hygiene and wellness,feminine hygiene,6626,-74.62,49.31,Low,True
32,foundation,makeup,face makeup,5975,-75.26,49.31,Low,True
33,colgate toothbrush,hygiene and wellness,oral care,3547,-75.28,49.3,Low,True
34,ghar soap,bath body and hair,soap,5546,-75.13,49.27,Low,True
35,whisper,hygiene and wellness,feminine hygiene,24136,-75.15,49.25,Low,True
36,tooth brush,hygiene and wellness,oral care,4709,-75.24,49.24,Low,True
37,minimalist sunscreen,bath body and hair,face cream,4102,-75.35,49.21,Low,True
38,bathing soap,bath body and hair,soap,3591,-75.63,49.21,Low,True
39,concealer,makeup,face makeup,6997,-75.7,49.19,Low,True
40,lux soap,bath body and hair,soap,5134,-75.5,49.17,Low,True
41,himalaya soap,bath body and hair,soap,3328,-74.96,49.16,Low,True
42,cinthol soap,bath body and hair,soap,5533,-75.89,49.14,Low,True
43,wax,beauty and grooming,hair removal,3849,-75.46,49.14,Low,True
44,razor,beauty and grooming,hair removal,16022,-75.95,49.12,Low,True
45,veet,beauty and grooming,hair removal,6302,-75.66,49.12,Low,True
46,cinthol,bath body and hair,soap,4014,-75.41,49.08,Low,True
47,moisturizer,bath body and hair,body lotion,15968,-75.72,49.06,Low,True
48,body scrub,bath body and hair,shower gel,7156,-76.32,49.02,Low,True
49,period panty,hygiene and wellness,feminine hygiene,3609,-75.92,49.0,Low,True
50,bath soap,bath body and hair,soap,3234,-76.4,49.0,Low,True
51,prega news,hygiene and wellness,basic pharma,11414,-75.38,48.96,Low,True
52,dot & key sunscreen,bath body and hair,face cream,4500,-76.79,48.89,Low,True
53,price drop,hygiene and wellness,basic pharma,3187,-76.64,48.89,Low,True
54,mars lip liner,makeup,lip makeup,3075,-75.59,48.88,Low,True
55,cough syrup,hygiene and wellness,basic pharma,7967,-76.57,48.87,Low,True
56,dot and key moisturizer,bath body and hair,face cream,3015,-77.02,48.83,Low,True
57,fair and lovely,bath body and hair,face cream,5178,-76.81,48.81,Low,True
58,vaseline lotion,bath body and hair,body lotion,3808,-75.26,48.81,Low,True
59,facial razor,beauty and grooming,hair removal,3259,-77.09,48.81,Low,True
60,makeup remover,beauty and grooming,face makeup,3168,-77.21,48.78,Low,True
