item_id,item_name,brand,l1_category,l2_category,l3_category,pack_type,combo_size,storage_requirement_type,mrp
316625,Lotus Herbals Radiant Diamond Cellular Radiance 5 In 1 Facial Kit |For All Skin Types,Lotus Herbals,Beauty and Grooming,Face and Lip Care,Face Care,Box,NULL,Ambient,1575.0
942341,Tiger Balm Red Ointment,Tiger Balm,Hygiene and Wellness,Wound Care and Pain Relief,Pain Relief,Box,1.0,Ambient,750.0
887681,SHRYOAN Butter Luxe Satin Matte Liquid Lipstick | Long-Lasting, Matte Finish, Non-Transfer Formula Lost Cherry,SHRYOAN,Makeup,Lip Makeup,Lipsticks,Pack,NULL,Ambient,249.0
418694,Cocowalk Bridal Facial Kit,Cocowalk,Beauty and Grooming,Face and Lip Care,Face Care,Box,1.0,Ambient,399.0
748502,ROOTS Truglam Brush Use for Men and Women - SLV86,ROOTS,Beauty and Grooming,Beauty Accessories,Beauty Tools,Pack,1.0,Ambient,475.0
14741,Whisper Daily Liner, 20 Normal Liners, For Non Period Days,Whisper,Hygiene and Wellness,Feminine Hygiene,Panties and Liners,Pouch,1.0,Ambient,105.0
1444,Durex Air Condoms for Men,Durex,Hygiene and Wellness,Sexual Wellness,Condoms,Pack,1.0,Ambient,295.0
894093,L.A Girl Lip Oil - Sheer Watermelon,L.A. Girl,Beauty and Grooming,Lip Makeup,Lipstick and Gloss,NULL,1.0,Ambient,595.0
799148,ROOTS Yoga Combs Use For Men And Women - Yc5,ROOTS,Makeup,Makeup Brushes and Tools,Hair Combs,Pack,1.0,Ambient,195.0
8845,Medimix Ayurvedic Natural Glycerine Bathing Bar, (4 + 1 Offer Pack),Medimix,Bath Body and Hair,Soap,Glycerine Soap,Box,1.0,Ambient,290.0
758183,Jovees Herbal Natural Henna Powder,Jovees Herbal,Makeup,Makeup Brushes and Tools,Mehandi,NULL,NULL,Ambient,200.0
82322,Aqualogica Glow+ Dewy Sunscreen SPF 50 with Papaya & Vitamin C | PA++++ | UVA/UVB | Blue Light Protection | Brightens & Hydrates Skin,Aqualogica,Beauty and Grooming,Body Lotion,Sunscreen,Pack,1.0,Ambient,599.0
