ITEM_ID,ITEM_NAME,BRAND,L1_CATEGORY,L2_CATEGORY,L3_CATEGORY,COMPANY,SUPPLY_TYPE,SEGMENT,TAX_RATE
855269,Secret Alchemist  Perfumes Gift Set Of 2 | Rose Oud & Bergamot Nostalgia | Long Lasting | For Him & Her,Secret Alchemist,Bath Body And Hair,Gift Packs,Personal Care Gift,24carat Remedies Pvt Ltd,WH - Ambient,KnS,5
506878,Secret Alchemist  Perfumes Gift Set Of 2 | Madurai Jasmine & Bergamot Nostalgia | Long Lasting | For Him & Her,Secret Alchemist,Bath Body And Hair,Gift Packs,Personal Care Gift,24carat Remedies Pvt Ltd,WH - Ambient,KnS,5
518229,Secret Alchemist  Perfumes Gift Set Of 2 | Rose Oud & Madurai Jasmine | Long Lasting | For Him & Her,Secret Alchemist,Bath Body And Hair,Gift Packs,Personal Care Gift,24carat Remedies Pvt Ltd,WH - Ambient,KnS,5
364567,Chemist At Play Brightening Body Wash With 2% Vitamin C + Niacinamide + Hyaluronic Acid For Dry Skin,Chemist At Play,Bath Body And Hair,Shower Gel,Body Wash,Onesto Labs Private Limited,WH - Ambient,KnS,5
759138,Skinn By Titan Tales Rio + Raw,Skinn By Titan,Beauty And Grooming,Gift Packs,Perfumes,Titan Company Limited,WH - Ambient,KnS,5
685912,Skinn By Titan Tales Ibiza + Nude,Skinn By Titan,Beauty And Grooming,Gift Packs,Perfumes,Titan Company Limited,WH - Ambient,KnS,5
723600,Vembley Short Length Oval Shaped Gradient Pink Artificial Reusable Press On Nails,Vembley,Beauty And Grooming,Nail Makeup,Press On Nails,Vembley Enterprises,WH - Ambient,KnS,18
766780,Furr By Pee Safe Dual Head Face Razor,Furr By Pee Safe,Beauty And Grooming,Hair Removal,Razor,Redcliffe Hygiene Private Limited,WH - Ambient,KnS,18
310129,Furr By Pee Safe German Blade Face Razor,Furr By Pee Safe,Beauty And Grooming,Hair Removal,Razor,Redcliffe Hygiene Private Limited,WH - Ambient,KnS,18
193975,Plush Period Panties High Waist | L-Xl | 0% Leak | Disposable | 2 Pcs,Plush,Hygiene And Wellness,Feminine Hygiene,Period Panties,Urban Essentials India Pvt Ltd,WH - Ambient,KnS,5
565199,Boldedge Couple Board Game - Adultopoly,Boldedge,Hygiene And Wellness,Sexual Wellness,Sexual Wellness Kit,Gaunac India Llp,WH - Ambient,KnS,5
894053,Awenest Natural Loofah Oval,Awenest,Beauty And Grooming,Beauty Accessories,Loofah,Restore Systems Pvt Ltd,WH - Ambient,KnS,5
