term,interest,trend,is_mock
dove shampoo,72,stable,true
head and shoulders,68,rising,true
pantene,45,stable,true
loreal,55,rising,true
nivea,62,stable,true
biotique,38,rising,true
mamaearth,75,rising,true
himalaya,58,stable,true
cetaphil,48,rising,true
neutrogena,42,stable,true
gillette,52,stable,true
veet,35,stable,true
soap paper,25,rising,true
hand sanitizer,40,falling,true
sunscreen,65,rising,true
face wash,70,stable,true
moisturizer,55,stable,true
body lotion,48,stable,true
hair oil,42,stable,true
conditioner,38,stable,true
