ITEM_ID,ITEM_NAME,AVG_RATING,REVIEW_COUNT,L2_CATEGORY
857583,Matrix Mega Smooth Sulfate-Free Conditioner For Bond Repair Safe For Keratin,4.33,5743,Shampoo And Conditioner
857583,Matrix Mega Smooth Sulfate-Free Conditioner For Bond Repair Safe For Keratin,4.33,5743,Shampoo And Conditioner
877554,Sugar Pop 16 Hr Perfume Gift Set Of - 4,4.46,5739,"Perfumes, Deos And Talc"
877554,Sugar Pop 16 Hr Perfume Gift Set Of - 4,4.46,5739,"Perfumes, Deos And Talc"
628314,"Engage Brazilian Maracuja Cognac Men Perfume, Luxury Perfume For Man",4.27,5048,"Perfumes, Deos And Talc"
628314,"Engage Brazilian Maracuja Cognac Men Perfume, Luxury Perfume For Man",4.27,5048,"Perfumes, Deos And Talc"
823758,Forest Essentials Mallika Gift Box - Bestselling Delights (Honey & Vanilla),4.21,3620,Gift Packs
823758,Forest Essentials Mallika Gift Box - Bestselling Delights (Honey & Vanilla),4.21,3620,Gift Packs
644183,Cantu Grapeseed Strengthening Conditioner,4.44,3605,Shampoo And Conditioner
644183,Cantu Grapeseed Strengthening Conditioner,4.44,3605,Shampoo And Conditioner
500128,Plum 2% Encapsulated Salicylic Acid Face Serum,4.52,3449,Face And Lip Care
500128,Plum 2% Encapsulated Salicylic Acid Face Serum,4.52,3449,Face And Lip Care
545224,Nivea Essential Female Travel Ready,4.57,3434,Shower Gel
545224,Nivea Essential Female Travel Ready,4.57,3434,Shower Gel
431449,Underated 8% Glycolic Acid + 1% Salicylic Acid + 1% Gdl  Multipurpose Tonning Solution,4.27,3374,Face Cream
431449,Underated 8% Glycolic Acid + 1% Salicylic Acid + 1% Gdl  Multipurpose Tonning Solution,4.27,3374,Face Cream
606815,Kamasutra Vanilla Exotica Condoms For Men,4.26,3213,Sexual Wellness
606815,Kamasutra Vanilla Exotica Condoms For Men,4.26,3213,Sexual Wellness
223788,Blue Nectar Plant Based Vitamin C Face Serum For Glowing Skin (9 Herbs),4.39,3201,Beauty Accessories
223788,Blue Nectar Plant Based Vitamin C Face Serum For Glowing Skin (9 Herbs),4.39,3201,Beauty Accessories
995526,Palmolive Luminous Oils Invigorating Liquid Hand Wash Pump With Macadamia Oil & Peony Extract,4.14,2697,Hand Wash And Sanitizer
995526,Palmolive Luminous Oils Invigorating Liquid Hand Wash Pump With Macadamia Oil & Peony Extract,4.14,2697,Hand Wash And Sanitizer
705469,Clinsol Anti-Acne Charcoal Facewash With Aloe Vera & Meadowsweet Extract | Paraben-Free,4.38,2637,Face Wash And Scrub
705469,Clinsol Anti-Acne Charcoal Facewash With Aloe Vera & Meadowsweet Extract | Paraben-Free,4.38,2637,Face Wash And Scrub
929291,Livon Professional Hydrating Serum For Women & Men |,4.2,2389,Hair Oil And Serum
929291,Livon Professional Hydrating Serum For Women & Men |,4.2,2389,Hair Oil And Serum
667840,Carlton London Men Gift Czar Perfume +Watch(Cllsgldbr)+Key Chain,4.29,2364,Gift Packs
667840,Carlton London Men Gift Czar Perfume +Watch(Cllsgldbr)+Key Chain,4.29,2364,Gift Packs
27956,"Cetaphil Baby Cream, Face & Body Moisturizing Cream | Advance Protection | Gentle & Soft With Organic Calendula",4.13,2076,Face And Lip Care
27956,"Cetaphil Baby Cream, Face & Body Moisturizing Cream | Advance Protection | Gentle & Soft With Organic Calendula",4.13,2076,Face And Lip Care
643940,Dettol Strawberry & Aloe Coconut Foaming Handwash Pump Combo,4.27,2057,Hand Wash And Sanitizer
643940,Dettol Strawberry & Aloe Coconut Foaming Handwash Pump Combo,4.27,2057,Hand Wash And Sanitizer
637160,Salt. Savant Gum Protection Mouthwash,4.24,1994,Oral Care
637160,Salt. Savant Gum Protection Mouthwash,4.24,1994,Oral Care
688600,Sugar Pop Satin Matte Lipstick - 05 Lotus,3.84,1906,Lip Makeup
688600,Sugar Pop Satin Matte Lipstick - 05 Lotus,3.84,1906,Lip Makeup
892449,"Faces Canada Comfy Matte Velvet Touch Lipstick - Pink Biscoff 03,| 8hr Longstay",4.13,1896,Lip Makeup
892449,"Faces Canada Comfy Matte Velvet Touch Lipstick - Pink Biscoff 03,| 8hr Longstay",4.13,1896,Lip Makeup
626063,Gush Beauty Dart It Hydrocolloid Pimple Patches For Healing Acne Zits And Blemishes - Purple Heart,4.32,1681,Face And Lip Care
626063,Gush Beauty Dart It Hydrocolloid Pimple Patches For Healing Acne Zits And Blemishes - Purple Heart,4.32,1681,Face And Lip Care
410604,Conscious Chemist Exfoliating Face Mask For Acne Prone Skin With Salicylic & Saffron Petal,4.2,1632,Face And Lip Care
410604,Conscious Chemist Exfoliating Face Mask For Acne Prone Skin With Salicylic & Saffron Petal,4.2,1632,Face And Lip Care
