BRAND_NAME,L1_CATEGORY,L2_CATEGORY,CURRENT_GMV,PREV_GMV,GMV_GROWTH_PCT,CURRENT_UNITS,CITY_REACH,BRAND_STATUS
clayco,bath body and hair,face wash and scrub,441847.0,0.0,,553.0,16,NEW_BRAND
schwarzkopf,bath body and hair,shampoo and conditioner,114840.0,0.0,,174.0,17,NEW_BRAND
vaseline,bath body and hair,body lotion,12003513.0,5399529.0,122.31,22128.0,132,BREAKOUT
parachute,bath body and hair,body lotion,4031744.0,1749589.0,130.44,10585.0,131,BREAKOUT
evereve,hygiene and wellness,feminine hygiene,2500899.0,1231515.0,103.07,12181.0,129,BREAKOUT
vaseline,beauty and grooming,face and lip care,1952385.0,348045.0,460.96,12682.0,129,BREAKOUT
volini,hygiene and wellness,wound care and pain relief,764568.0,62604.0,1121.28,4087.0,99,BREAKOUT
bioderma,beauty and grooming,face cream,602006.0,168040.0,258.25,616.0,68,BREAKOUT
vaseline,makeup,lip makeup,527869.0,1820.0,28903.79,2057.0,101,NEW_BRAND
be bodywise,hygiene and wellness,basic pharma,497952.0,183141.0,171.9,1248.0,83,BREAKOUT
simple,bath body and hair,face cream,376408.0,174293.0,115.96,756.0,60,BREAKOUT
bioderma,beauty and grooming,face wash and scrub,353285.0,119164.0,196.47,515.0,66,BREAKOUT
tonymoly,beauty and grooming,face makeup,263220.0,131310.0,100.46,276.0,30,BREAKOUT
beauty of joseon,bath body and hair,face cream,247500.0,7500.0,3200.0,165.0,38,NEW_BRAND
mannlich,beauty and grooming,face and lip care,242592.0,59052.0,310.81,608.0,66,BREAKOUT
insight cosmetics,makeup,face makeup,236360.0,1880.0,12472.34,1044.0,21,NEW_BRAND
beauty of joseon,beauty and grooming,face and lip care,184860.0,40049.0,361.58,119.0,34,BREAKOUT
mannlich,beauty and grooming,mens grooming,179640.0,87784.0,104.64,360.0,49,BREAKOUT
muuchstac,bath body and hair,face wash and scrub,150995.0,4485.0,3266.67,505.0,58,NEW_BRAND
r for rabbit,hygiene and wellness,feminine hygiene,145854.0,55944.0,160.71,73.0,18,BREAKOUT
wow skin science,bath body and hair,perfumes deos & talc,136108.0,55552.0,145.01,122.0,40,BREAKOUT
braun,beauty and grooming,hair removal,101154.0,46179.0,119.05,46.0,13,BREAKOUT
stayfree,hygiene and wellness,feminine hygiene,14262025.0,13535135.0,5.37,71528.0,132,EXISTING
plush,hygiene and wellness,feminine hygiene,6009681.0,5159708.0,16.47,20368.0,131,EXISTING
mysore sandal,bath body and hair,soap,4098856.0,3086385.0,32.8,46598.0,104,EXISTING
karein,hygiene and wellness,basic pharma,3757696.0,2492800.0,50.74,7339.0,119,HIGH_GROWTH
ponds,bath body and hair,face cream,3343482.0,2213950.0,51.02,7740.0,129,HIGH_GROWTH
nivea,bath body and hair,face cream,3332061.0,2892240.0,15.21,6942.0,130,EXISTING
plush,hygiene and wellness,basic pharma,3187663.0,2289414.0,39.23,31314.0,132,EXISTING
cetaphil,bath body and hair,body lotion,3031383.0,2550917.0,18.84,5110.0,128,EXISTING
minimalist,bath body and hair,face cream,2915547.0,2572506.0,13.33,8644.0,130,EXISTING
lakme,bath body and hair,face cream,2757634.0,2024627.0,36.2,6942.0,129,EXISTING
closeup,hygiene and wellness,oral care,2190519.0,1816262.0,20.61,13180.0,132,EXISTING
neutrogena,bath body and hair,face cream,1890109.0,1860701.0,1.58,2417.0,109,EXISTING
lux,bath body and hair,shower gel,1814338.0,1731766.0,4.77,13828.0,130,EXISTING
scalpe pro,bath body and hair,shampoo and conditioner,1735197.0,1393657.0,24.51,6935.0,129,EXISTING
nua,beauty and grooming,face and lip care,1516891.0,1365279.0,11.1,10051.0,127,EXISTING
foxtale,bath body and hair,face cream,1507619.0,1266888.0,19.0,4535.0,126,EXISTING
santoor,hygiene and wellness,hand wash and sanitizer,1426548.0,1336603.0,6.73,12303.0,130,EXISTING
pilgrim,bath body and hair,shampoo and conditioner,1341020.0,1070399.0,25.28,3551.0,106,EXISTING
plush,hygiene and wellness,sexual wellness,1340930.0,1025002.0,30.82,3094.0,122,EXISTING
wishcare,beauty and grooming,face and lip care,1269609.0,1237786.0,2.57,3920.0,119,EXISTING
plum,bath body and hair,body lotion,1242877.0,992071.0,25.28,2848.0,122,EXISTING
ponds,beauty and grooming,face and lip care,1212759.0,1020704.0,18.82,5222.0,129,EXISTING
plum,bath body and hair,face cream,1185138.0,1082333.0,9.5,2721.0,123,EXISTING
everyuth,bath body and hair,face wash and scrub,1172594.0,1034216.0,13.38,5420.0,130,EXISTING
himalaya,hygiene and wellness,basic pharma,1053786.0,705364.0,49.4,10903.0,131,EXISTING
wishcare,bath body and hair,face cream,958535.0,833763.0,14.96,2042.0,109,EXISTING
deconstruct,bath body and hair,face cream,931085.0,842033.0,10.58,2615.0,115,EXISTING
nivea,makeup,lip makeup,924430.0,885808.0,4.36,4528.0,124,EXISTING
baby sebamed,bath body and hair,shampoo and conditioner,887928.0,885449.0,0.28,1385.0,91,EXISTING
deconstruct,beauty and grooming,face and lip care,869644.0,601028.0,44.69,3006.0,107,EXISTING
plush,beauty and grooming,hair removal,843625.0,611031.0,38.07,2663.0,121,EXISTING
rexona,bath body and hair,soap,831651.0,449077.0,85.19,5336.0,127,HIGH_GROWTH
nat habit,beauty and grooming,hair colour,821740.0,633810.0,29.65,2221.0,64,EXISTING
sanfe,bath body and hair,face cream,815589.0,590337.0,38.16,1981.0,116,EXISTING
joy,bath body and hair,body lotion,805810.0,635729.0,26.75,1900.0,101,EXISTING
carmesi,hygiene and wellness,feminine hygiene,778962.0,688057.0,13.21,1867.0,84,EXISTING
aqualens,hygiene and wellness,basic pharma,733628.0,408244.0,79.7,1453.0,26,HIGH_GROWTH
dot & key,makeup,lip makeup,695706.0,397683.0,74.94,2794.0,122,HIGH_GROWTH
mamaearth,bath body and hair,body lotion,688766.0,530721.0,29.78,1386.0,111,EXISTING
pilgrim,beauty and grooming,face and lip care,652277.0,651900.0,0.06,1450.0,97,EXISTING
