L1_CATEGORY,L2_CATEGORY,M0_GMV,M1_GMV,M2_GMV,M0_UNITS,AVG_DAILY_A2C,AVG_DAILY_S2C,AVG_GROSS_MARGIN_INR,DAYS_WITH_DATA,M0_VS_M1_GMV_GROWTH_PCT,M1_VS_M2_GMV_GROWTH_PCT,TWO_PERIOD_GMV_CAGR_PCT,SALES_TREND_DIRECTION,SALES_TREND_STABILITY_SCORE
hygiene and wellness,feminine hygiene,83771177.0,0.0,51571364.0,339171.0,,,,12,,-100.0,27.45,accelerating,75
bath body and hair,shampoo and conditioner,70825633.0,0.0,55658807.0,196635.0,,,,12,,-100.0,12.8,accelerating,75
hygiene and wellness,oral care,49173763.0,0.0,37325405.0,315231.0,,,,12,,-100.0,14.78,accelerating,75
bath body and hair,face cream,45224329.0,0.0,34632604.0,111394.0,,,,12,,-100.0,14.27,accelerating,75
bath body and hair,"perfumes, deos and talc",41170004.0,0.0,33262068.0,90937.0,,,,12,,-100.0,11.25,accelerating,75
bath body and hair,body lotion,41005977.0,0.0,41298479.0,86829.0,,,,12,,-100.0,-0.35,accelerating,75
beauty and grooming,face and lip care,38281398.0,0.0,26050620.0,149357.0,,,,12,,-100.0,21.22,accelerating,75
hygiene and wellness,sexual wellness,37432293.0,0.0,24984874.0,123802.0,,,,12,,-100.0,22.4,accelerating,75
bath body and hair,face wash and scrub,36322207.0,0.0,25262678.0,112644.0,,,,12,,-100.0,19.91,accelerating,75
hygiene and wellness,basic pharma,32597480.0,0.0,18785368.0,164538.0,,,,12,,-100.0,31.73,accelerating,75
bath body and hair,soap,32491314.0,0.0,24458372.0,200651.0,,,,12,,-100.0,15.26,accelerating,75
bath body and hair,hair oil and serum,29068602.0,0.0,22980777.0,104419.0,,,,12,,-100.0,12.47,accelerating,75
bath body and hair,shower gel,24411921.0,0.0,18800135.0,85200.0,,,,12,,-100.0,13.95,accelerating,75
hygiene and wellness,hand wash and sanitizer,17744730.0,0.0,12207732.0,141053.0,,,,12,,-100.0,20.56,accelerating,75
beauty and grooming,hair colour,15951100.0,0.0,9620593.0,52951.0,,,,12,,-100.0,28.76,accelerating,75
beauty and grooming,hair removal,13770611.0,0.0,9523368.0,72155.0,,,,12,,-100.0,20.25,accelerating,75
hygiene and wellness,wound care and pain relief,12446278.0,0.0,8187017.0,71566.0,,,,12,,-100.0,23.3,accelerating,75
makeup,lip makeup,12368370.0,0.0,9044214.0,41434.0,,,,12,,-100.0,16.94,accelerating,75
beauty and grooming,shaving needs,11280313.0,0.0,7270744.0,40256.0,,,,12,,-100.0,24.56,accelerating,75
makeup,eye makeup,8774835.0,0.0,5953526.0,32768.0,,,,12,,-100.0,21.4,accelerating,75
beauty and grooming,mens grooming,8091092.0,0.0,5421899.0,30059.0,,,,12,,-100.0,22.16,accelerating,75
makeup,face makeup,7590463.0,0.0,5466523.0,23327.0,,,,12,,-100.0,17.84,accelerating,75
makeup,makeup brushes and tools,5609405.0,0.0,3243832.0,33664.0,,,,12,,-100.0,31.5,accelerating,75
beauty and grooming,beauty accessories,5596363.0,0.0,4362148.0,26064.0,,,,12,,-100.0,13.27,accelerating,75
beauty and grooming,gift packs,3305109.0,0.0,3047283.0,5185.0,,,,12,,-100.0,4.14,accelerating,75
beauty and grooming,face makeup,3040905.0,0.0,2136433.0,9452.0,,,,12,,-100.0,19.3,accelerating,75
