SEARCH_STRING,L1_CATEGORY,L2_CATEGORY,M0_VOLUME,ZERO_RESULT_RATE,M1_VOLUME,M2_VOLUME,M0_VS_M1_GROWTH_PCT,M1_VS_M2_GROWTH_PCT,TWO_PERIOD_CAGR_PCT,TREND_DIRECTION,TREND_STABILITY_SCORE
condom,hygiene and wellness,sexual wellness,551578,0.01,483803,110738,14.01,336.89,123.18,stable_up,100
shampoo,bath body and hair,shampoo and conditioner,524644,0.02,468059,556548,12.09,-15.90,-2.91,accelerating,75
toothbrush,hygiene and wellness,oral care,512669,0.00,502755,511489,1.97,-1.71,0.12,accelerating,75
toothpaste,hygiene and wellness,oral care,510868,0.00,507776,550307,0.61,-7.73,-3.65,accelerating,75
coconut oil,bath body and hair,hair oil and serum,493904,0.00,492141,602474,0.36,-18.31,-9.46,accelerating,75
handwash,hygiene and wellness,hand wash and sanitizer,412165,0.00,330214,127298,24.82,159.40,79.94,stable_up,100
face wash,bath body and hair,face wash and scrub,407387,0.00,383665,468659,6.18,-18.14,-6.77,accelerating,75
body wash,bath body and hair,shower gel,368588,0.00,356746,413486,3.32,-13.72,-5.59,accelerating,75
lip balm,beauty and grooming,face and lip care,308826,0.00,407323,586636,-24.18,-30.57,-27.44,stable_down,0
sanitary pads,hygiene and wellness,feminine hygiene,280571,0.01,261122,296904,7.45,-12.05,-2.79,accelerating,75
body lotion,bath body and hair,body lotion,274799,0.00,375217,625250,-26.76,-39.99,-33.71,stable_down,0
sunscreen,bath body and hair,face cream,267820,0.00,233136,287047,14.88,-18.78,-3.41,accelerating,75
colgate,hygiene and wellness,oral care,237025,0.00,226895,250741,4.46,-9.51,-2.77,accelerating,75
pads,hygiene and wellness,feminine hygiene,232880,0.00,220682,238988,5.53,-7.66,-1.29,accelerating,75
soap,bath body and hair,soap,232043,0.01,213033,240452,8.92,-11.40,-1.76,accelerating,75
soaps,bath body and hair,soap,223986,0.02,205992,266690,8.74,-22.76,-8.36,accelerating,75
pregnancy kit,hygiene and wellness,basic pharma,205630,0.01,209494,164191,-1.84,27.59,11.91,decelerating,50
dettol,hygiene and wellness,wound care and pain relief,203094,0.00,196594,241164,3.31,-18.48,-8.23,accelerating,75
whisper,hygiene and wellness,feminine hygiene,191309,0.00,175810,195942,8.82,-10.27,-1.19,accelerating,75
cetaphil,bath body and hair,face wash and scrub,182070,0.00,177162,204482,2.77,-13.36,-5.64,accelerating,75
lipstick,makeup,lip makeup,173198,0.00,188012,284174,-7.88,-33.84,-21.93,stable_down,0
perfumes,bath body and hair,"perfumes, deos and talc",171633,0.00,233060,218224,-26.36,6.80,-11.32,decelerating,50
conditioner,bath body and hair,shampoo and conditioner,167512,0.00,151140,184332,10.83,-18.01,-4.67,accelerating,75
hair colour,beauty and grooming,hair colour,165396,0.00,162922,178404,1.52,-8.68,-3.71,accelerating,75
stayfree,hygiene and wellness,feminine hygiene,164044,0.00,154002,175492,6.52,-12.25,-3.32,accelerating,75
hair serum,bath body and hair,hair oil and serum,160500,0.00,153610,177690,4.49,-13.55,-4.96,accelerating,75
cetaphil cleanser,bath body and hair,face wash and scrub,155800,0.00,136998,154657,13.72,-11.42,0.37,accelerating,75
vaseline,bath body and hair,body lotion,141291,0.00,197910,340298,-28.61,-41.84,-35.56,stable_down,0
