SEARCH_STRING,TYPED_COUNT,AUTOSUGGEST_COUNT,VOICE_COUNT,STORED_COUNT,TOTAL_SEARCHES,TYPED_PCT,AUTOSUGGEST_PCT,VOICE_PCT,SEARCH_TYPE
coconut oil,617,390,32,5,4694,13.14,8.31,0.68,navigation
toothbrush,435,228,12,14,4237,10.27,5.38,0.28,navigation
shampoo,592,176,18,10,4145,14.28,4.25,0.43,navigation
toothpaste,475,236,8,13,4023,11.81,5.87,0.20,navigation
condom,470,147,10,12,3716,12.65,3.96,0.27,navigation
handwash,403,222,7,7,3667,10.99,6.05,0.19,navigation
face wash,429,144,9,13,3112,13.79,4.63,0.29,navigation
body wash,352,123,4,10,2885,12.20,4.26,0.14,navigation
lip balm,347,80,3,8,2505,13.85,3.19,0.12,navigation
soaps,306,156,8,10,2493,12.27,6.26,0.32,navigation
sunscreen,269,74,4,4,2275,11.82,3.25,0.18,navigation
dettol,246,105,11,6,2211,11.13,4.75,0.50,navigation
pads,384,70,9,9,2089,18.38,3.35,0.43,navigation
sanitary pads,181,89,11,5,1788,10.12,4.98,0.62,navigation
perfumes,205,50,9,5,1776,11.54,2.82,0.51,navigation
colgate,191,89,14,7,1678,11.38,5.30,0.83,navigation
body lotion,204,58,1,4,1665,12.25,3.48,0.06,navigation
whisper,167,59,2,7,1650,10.12,3.58,0.12,navigation
soap,369,99,2,4,1583,23.31,6.25,0.13,navigation
cetaphil,135,54,2,4,1578,8.56,3.42,0.13,navigation
medicine,108,39,38,6,1502,7.19,2.60,2.53,navigation
stayfree,142,54,8,4,1435,9.90,3.76,0.56,navigation
hair colour,161,35,4,2,1381,11.66,2.53,0.29,navigation
hair serum,154,40,0,3,1270,12.13,3.15,0.00,navigation
conditioner,145,43,1,4,1267,11.44,3.39,0.08,navigation
adult diaper,105,26,3,2,1257,8.35,2.07,0.24,navigation
hair oil,163,58,4,5,1243,13.11,4.67,0.32,navigation
pregnancy kit,101,40,5,3,1220,8.28,3.28,0.41,navigation
lipstick,158,36,2,1,1200,13.17,3.00,0.17,navigation
pears,151,95,4,7,1127,13.40,8.43,0.35,navigation
moisturizer,106,45,3,0,1126,9.41,4.00,0.27,navigation
face mask,194,43,0,3,1117,17.37,3.85,0.00,navigation
l'oreal shampoo,84,27,3,2,1108,7.58,2.44,0.27,navigation
vicks,162,59,3,3,1104,14.67,5.34,0.27,navigation
vaseline,124,40,6,2,1093,11.34,3.66,0.55,navigation
sensodyne,90,47,5,3,1029,8.75,4.57,0.49,navigation
paste,157,64,3,3,1010,15.54,6.34,0.30,navigation
cetaphil cleanser,74,27,0,4,1007,7.35,2.68,0.00,navigation
period panties,101,33,0,4,984,10.26,3.35,0.00,navigation
tongue cleaner,114,39,4,1,983,11.60,3.97,0.41,navigation
razor,167,30,1,2,952,17.54,3.15,0.11,navigation
mask,194,36,1,3,949,20.44,3.79,0.11,navigation
