ITEM_ID,ITEM_NAME,BRAND,L2_CATEGORY,L1_CATEGORY,MRP,SELLING_PRICE,DISCOUNT_PCT
R6YNQMDD54,pears soft & fresh body wash,pears,bath body and hair,bath body and hair,5423.0,5423.0,0.0
DO9W3UKIPN,guess seductive homme blue eau de toilette,guess,bath body and hair,bath body and hair,5100.0,4080.0,20.0
QZB0CK6QKD,tommy hilfiger impact intense eau de parfum,tommy hilfiger,bath body and hair,bath body and hair,6800.0,4080.0,40.0
LLV0RQFGDW,guess seductive homme eau de toilette,guess,bath body and hair,bath body and hair,5100.0,4080.0,20.0
KQQDKGDYOT,tommy hilfiger impact intense eau de parfum,tommy hilfiger,bath body and hair,bath body and hair,6800.0,4080.0,40.0
ZY3KCK05HI,"mymuse edge stroker: vibrating, ribbed, 10 speeds, rechargeable, ultra soft",mymuse,hygiene and wellness,hygiene and wellness,4999.0,3999.0,20.0
IOPAYWCBAB,"mymuse edge stroker: vibrating, ribbed, 10 speeds, rechargeable, ultra soft",mymuse,hygiene and wellness,hygiene and wellness,4999.0,3999.0,20.0
5U2ASX6RGB,"mymuse edge stroker: vibrating, ribbed, 10 speeds, rechargeable, ultra soft",mymuse,hygiene and wellness,hygiene and wellness,4999.0,3999.0,20.0
G7HLFMA1XR,"mymuse edge stroker: vibrating, ribbed, 10 speeds, rechargeable, ultra soft",mymuse,hygiene and wellness,hygiene and wellness,4999.0,3999.0,20.0
N7DFSVVRYB,"mymuse edge stroker: vibrating, ribbed, 10 speeds, rechargeable, ultra soft",mymuse,hygiene and wellness,hygiene and wellness,4999.0,3999.0,20.0
41U73PVI13,"mymuse edge stroker: vibrating, ribbed, 10 speeds, rechargeable, ultra soft",mymuse,hygiene and wellness,hygiene and wellness,4999.0,3999.0,20.0
W1WN5NDPW2,"mymuse edge stroker: vibrating, ribbed, 10 speeds, rechargeable, ultra soft",mymuse,hygiene and wellness,hygiene and wellness,4999.0,3999.0,20.0
7L93WZYBJP,"mymuse edge stroker: vibrating, ribbed, 10 speeds, rechargeable, ultra soft",mymuse,hygiene and wellness,hygiene and wellness,5999.0,3999.0,33.34
QF3H7XHV33,"mymuse edge stroker: vibrating, ribbed, 10 speeds, rechargeable, ultra soft",mymuse,hygiene and wellness,hygiene and wellness,4999.0,3999.0,20.0
S6DBWN9KUS,"mymuse edge stroker: vibrating, ribbed, 10 speeds, rechargeable, ultra soft",mymuse,hygiene and wellness,hygiene and wellness,4999.0,3999.0,20.0
7GX7GSFDJT,guess dare eau de toilette,guess,bath body and hair,bath body and hair,5100.0,3825.0,25.0
IIV525715F,guess dare eau de toilette,guess,bath body and hair,bath body and hair,5100.0,3825.0,25.0
B81Q5YK9NJ,tommy hilfiger impact spark eau de toilette,tommy hilfiger,bath body and hair,bath body and hair,6100.0,3660.0,40.0
HDF0IC7PQD,braun face 810 mini facial epilator ||women with cleansing brush with micro-oscillations,braun,electronics and appliances,beauty and grooming,4299.0,3624.0,15.7
WNJO4RCJX7,gillette fusion 5-bladed cartridges with precision trimmer & bladed cartridges pack of 6,gillette,beauty and grooming,beauty and grooming,4557.0,3560.0,21.88
26Z93WVV0T,gillette fusion 5-bladed cartridges with precision trimmer & bladed cartridges pack of 6,gillette,beauty and grooming,beauty and grooming,4557.0,3560.0,21.88
W3QR68BO23,gillette fusion 5-bladed cartridges with precision trimmer & bladed cartridges pack of 6,gillette,beauty and grooming,beauty and grooming,4557.0,3560.0,21.88
8278CIR2GV,jaguar classic gold eau de toilette,jaguar,bath body and hair,bath body and hair,4100.0,3074.67,25.01
J127KPXD7Q,jaguar classic gold eau de toilette,jaguar,bath body and hair,bath body and hair,4100.0,3074.0,25.02
6FXJY6MW3N,jaguar classic gold eau de toilette,jaguar,bath body and hair,bath body and hair,4100.0,3074.0,25.02
GLN9D1LBB3,durex slide & ride stroker,durex,hygiene and wellness,hygiene and wellness,3999.0,2999.0,25.01
GIOILB9D0M,"mymuse groove wand massager: internal & external, 10 speeds, flexible, ribbed",mymuse,hygiene and wellness,hygiene and wellness,6499.0,2999.0,53.85
WNJBKM5LPU,durex slide & ride stroker,durex,hygiene and wellness,hygiene and wellness,3999.0,2999.0,25.01
YAYNF9IRDF,durex slide & ride stroker,durex,hygiene and wellness,hygiene and wellness,3999.0,2999.0,25.01
841QUB6HZK,pee safe domina discover body massager || waterproof,pee safe,hygiene and wellness,hygiene and wellness,3999.0,2999.0,25.01
ZHVYIRCRIK,durex slide & ride stroker,durex,hygiene and wellness,hygiene and wellness,3999.0,2999.0,25.01
ZB09VCI9HF,durex slide & ride stroker,durex,hygiene and wellness,hygiene and wellness,3999.0,2999.0,25.01
OAY40RXSP4,"mymuse groove wand massager: internal & external, 10 speeds, flexible, ribbed",mymuse,hygiene and wellness,hygiene and wellness,6499.0,2999.0,53.85
KHTHVVYKAF,"mymuse groove wand massager: internal & external, 10 speeds, flexible, ribbed",mymuse,hygiene and wellness,hygiene and wellness,6499.0,2999.0,53.85
0CNKXJ9PL4,"mymuse groove wand massager: internal & external, 10 speeds, flexible, ribbed",mymuse,hygiene and wellness,hygiene and wellness,6499.0,2999.0,53.85
AJQBAU6FIZ,durex slide & ride stroker,durex,hygiene and wellness,hygiene and wellness,3999.0,2999.0,25.01
KDJ0G6LBN5,durex slide & ride stroker,durex,hygiene and wellness,hygiene and wellness,3999.0,2999.0,25.01
4H4PJ9MQFM,durex slide & ride stroker,durex,hygiene and wellness,hygiene and wellness,3999.0,2999.0,25.01
3R6V7PA9I9,"mymuse groove wand massager: internal & external, 10 speeds, flexible, ribbed",mymuse,hygiene and wellness,hygiene and wellness,6499.0,2999.0,53.85
KSAJLI7SU9,"mymuse groove wand massager: internal & external, 10 speeds, flexible, ribbed",mymuse,hygiene and wellness,hygiene and wellness,6499.0,2999.0,53.85
C94ZQMH9I3,durex slide & ride stroker,durex,hygiene and wellness,hygiene and wellness,3999.0,2999.0,25.01
B5YWKXWMQ3,durex slide & ride stroker,durex,hygiene and wellness,hygiene and wellness,3999.0,2999.0,25.01
KA0DY2H6VW,"mymuse groove wand massager: internal & external, 10 speeds, flexible, ribbed",mymuse,hygiene and wellness,hygiene and wellness,6499.0,2999.0,53.85
PHDHUX4NY9,"mymuse groove wand massager: internal & external, 10 speeds, flexible, ribbed",mymuse,hygiene and wellness,hygiene and wellness,6499.0,2999.0,53.85
F1N9PVNJFU,"mymuse groove wand massager: internal & external, 10 speeds, flexible, ribbed",mymuse,hygiene and wellness,hygiene and wellness,6499.0,2999.0,53.85
93W4RALYIN,durex slide & ride stroker,durex,hygiene and wellness,hygiene and wellness,3999.0,2999.0,25.01
JTM3Q8TAPR,"mymuse groove wand massager: internal & external, 10 speeds, flexible, ribbed",mymuse,hygiene and wellness,hygiene and wellness,6499.0,2999.0,53.85
DWHOATG025,"mymuse breeze suction massager: mimics oral play, 10 speeds, waterproof,green",mymuse,hygiene and wellness,hygiene and wellness,4999.0,2999.0,40.01
SP3YX6BRJ2,"mymuse groove wand massager: internal & external, 10 speeds, flexible, ribbed",mymuse,hygiene and wellness,hygiene and wellness,6499.0,2999.0,53.85
KAINRGUABG,durex slide & ride stroker,durex,hygiene and wellness,hygiene and wellness,3999.0,2999.0,25.01
7SH2B14XCT,"mymuse groove wand massager: internal & external, 10 speeds, flexible, ribbed",mymuse,hygiene and wellness,hygiene and wellness,6499.0,2999.0,53.85
DOUQCMYN3P,durex slide & ride stroker,durex,hygiene and wellness,hygiene and wellness,3999.0,2999.0,25.01
P3GH27WM9B,durex slide & ride stroker,durex,hygiene and wellness,hygiene and wellness,3999.0,2999.0,25.01
TMKU66UPZN,durex slide & ride stroker,durex,hygiene and wellness,hygiene and wellness,3999.0,2999.0,25.01
WKCR92H6K9,durex slide & ride stroker,durex,hygiene and wellness,hygiene and wellness,3999.0,2999.0,25.01
AY7G32SGBA,durex slide & ride stroker,durex,hygiene and wellness,hygiene and wellness,3999.0,2999.0,25.01
I5R2YDU5BH,durex slide & ride stroker,durex,hygiene and wellness,hygiene and wellness,3999.0,2999.0,25.01
PV4TVCIDU3,"mymuse groove wand massager: internal & external, 10 speeds, flexible, ribbed",mymuse,hygiene and wellness,hygiene and wellness,6499.0,2999.0,53.85
5G9CZ22AK6,"mymuse groove wand massager: internal & external, 10 speeds, flexible, ribbed",mymuse,hygiene and wellness,hygiene and wellness,6499.0,2999.0,53.85
W9BNSVYA3V,durex slide & ride stroker,durex,hygiene and wellness,hygiene and wellness,3999.0,2999.0,25.01
JBAAZK4N43,"mymuse groove wand massager: internal & external, 10 speeds, flexible, ribbed",mymuse,hygiene and wellness,hygiene and wellness,6499.0,2999.0,53.85
BD7OPYLR9G,durex slide & ride stroker,durex,hygiene and wellness,hygiene and wellness,3999.0,2999.0,25.01
6YV1TWAI07,durex slide & ride stroker,durex,hygiene and wellness,hygiene and wellness,3999.0,2999.0,25.01
IJ1P90FD24,durex slide & ride stroker,durex,hygiene and wellness,hygiene and wellness,3999.0,2999.0,25.01
WD1JYC8CX8,durex slide & ride stroker,durex,hygiene and wellness,hygiene and wellness,3999.0,2999.0,25.01
NSSZY5BCXI,"mymuse groove wand massager: internal & external, 10 speeds, flexible, ribbed",mymuse,hygiene and wellness,hygiene and wellness,6499.0,2999.0,53.85
3IGSRG64OO,durex slide & ride stroker,durex,hygiene and wellness,hygiene and wellness,3999.0,2999.0,25.01
RU976RKIYK,durex slide & ride stroker,durex,hygiene and wellness,hygiene and wellness,3999.0,2999.0,25.01
XAIHDNAG45,durex slide & ride stroker,durex,hygiene and wellness,hygiene and wellness,3999.0,2999.0,25.01
21KQORUOU6,durex slide & ride stroker,durex,hygiene and wellness,hygiene and wellness,3999.0,2999.0,25.01
CVG1M8ADR6,durex slide & ride stroker,durex,hygiene and wellness,hygiene and wellness,3999.0,2999.0,25.01
W1JF0A2AO9,"mymuse breeze suction massager: mimics oral play, 10 speeds, waterproof,green",mymuse,hygiene and wellness,hygiene and wellness,4999.0,2995.25,40.08
B48RK1GBGX,"mymuse breeze suction massager: mimics oral play, 10 speeds, waterproof,green",mymuse,hygiene and wellness,hygiene and wellness,4999.0,2991.5,40.16
BADH28QV5P,"mymuse breeze suction massager: mimics oral play, 10 speeds, waterproof,green",mymuse,hygiene and wellness,hygiene and wellness,4999.0,2991.5,40.16
CZDLHBU482,"mymuse breeze suction massager: mimics oral play, 10 speeds, waterproof,green",mymuse,hygiene and wellness,hygiene and wellness,4999.0,2991.5,40.16
IN6LAH2WUA,"mymuse breeze suction massager: mimics oral play, 10 speeds, waterproof,green",mymuse,hygiene and wellness,hygiene and wellness,4999.0,2991.5,40.16
2VCW3Y8XOH,"mymuse breeze suction massager: mimics oral play, 10 speeds, waterproof,green",mymuse,hygiene and wellness,hygiene and wellness,4999.0,2969.0,40.61
TN5F9KTIW1,"mymuse breeze suction massager: mimics oral play, 10 speeds, waterproof,green",mymuse,hygiene and wellness,hygiene and wellness,4999.0,2969.0,40.61
8XHBQC1ATH,"mymuse breeze suction massager: mimics oral play, 10 speeds, waterproof,green",mymuse,hygiene and wellness,hygiene and wellness,4999.0,2969.0,40.61
IUK6R9KZQ6,"mymuse breeze suction massager: mimics oral play, 10 speeds, waterproof,green",mymuse,hygiene and wellness,hygiene and wellness,4999.0,2969.0,40.61
XGX30BW74A,durex playkit - lovecation condoms and playthings,durex,hygiene and wellness,hygiene and wellness,4108.0,2876.0,29.99
ZKVHWVCHGW,jaguar classic blue eau de toilette,jaguar,bath body and hair,bath body and hair,4100.0,2870.0,30.0
UQ5TJ1U8SY,jaguar for men gold in black eau de toilette,jaguar,bath body and hair,bath body and hair,4100.0,2870.0,30.0
Q7UGVYBKDQ,jaguar classic blue eau de toilette,jaguar,bath body and hair,bath body and hair,4100.0,2870.0,30.0
G5UNPV90DH,jaguar for men gold in black eau de toilette,jaguar,bath body and hair,bath body and hair,4100.0,2870.0,30.0
42158WFIHG,durex playkit - lovecation condoms and playthings,durex,hygiene and wellness,hygiene and wellness,4090.0,2863.0,30.0
5CMSHTAD9R,mschief electro massager|purple|12 frequencies|waterproof body,mschief,hygiene and wellness,hygiene and wellness,3799.0,2736.5,27.97
