ITEM_ID,ITEM_NAME,BRAND,L2_CATEGORY,L1_CATEGORY,AVG_RATING,REVIEW_COUNT
HUM7I7JK93,"healthfab gopadfree reusable leak-proof period panty usable for 2 years without pads, black",healthfab,hygiene and wellness,hygiene and wellness,4.66,611
QDRVYVA92Z,"healthfab gopadfree reusable leak-proof period panty usable for 2 years without pads, black",healthfab,hygiene and wellness,hygiene and wellness,4.66,611
Y4HCZL21XN,"healthfab gopadfree reusable leak-proof period panty usable for 2 years without pads, black",healthfab,hygiene and wellness,hygiene and wellness,4.66,611
SQHJNB6I8H,"healthfab gopadfree reusable leak-proof period panty usable for 2 years without pads, black",healthfab,hygiene and wellness,hygiene and wellness,4.66,611
BMGF14JIZZ,"healthfab gopadfree reusable leak-proof period panty usable for 2 years without pads, black",healthfab,hygiene and wellness,hygiene and wellness,4.66,611
7H28WZWDWV,"healthfab gopadfree reusable leak-proof period panty usable for 2 years without pads, black",healthfab,hygiene and wellness,hygiene and wellness,4.66,611
H5I1UKR5WH,"healthfab gopadfree reusable leak-proof period panty usable for 2 years without pads, black",healthfab,hygiene and wellness,hygiene and wellness,4.66,611
VN5L1D7G1J,"healthfab gopadfree reusable leak-proof period panty usable for 2 years without pads, black",healthfab,hygiene and wellness,hygiene and wellness,4.66,611
35RQ5AGGCV,"healthfab gopadfree reusable leak-proof period panty usable for 2 years without pads, black",healthfab,hygiene and wellness,hygiene and wellness,4.66,611
A0QLXXHIZ4,"healthfab gopadfree reusable leak-proof period panty usable for 2 years without pads, black",healthfab,hygiene and wellness,hygiene and wellness,4.66,611
QQAHV8D9JX,"healthfab gopadfree reusable leak-proof period panty usable for 2 years without pads, black",healthfab,hygiene and wellness,hygiene and wellness,4.66,611
9GXN46I69X,"healthfab gopadfree reusable leak-proof period panty usable for 2 years without pads, black",healthfab,hygiene and wellness,hygiene and wellness,4.66,611
8OKDNQQLIV,"healthfab gopadfree reusable leak-proof period panty usable for 2 years without pads, black",healthfab,hygiene and wellness,hygiene and wellness,4.66,611
F2NNHBTYZH,"healthfab gopadfree reusable leak-proof period panty usable for 2 years without pads, black",healthfab,hygiene and wellness,hygiene and wellness,4.66,611
YTJQKSJBL8,"healthfab gopadfree reusable leak-proof period panty usable for 2 years without pads, black",healthfab,hygiene and wellness,hygiene and wellness,4.66,611
3PZ1H5AN0T,"healthfab gopadfree reusable leak-proof period panty usable for 2 years without pads, black",healthfab,hygiene and wellness,hygiene and wellness,4.66,611
5TNXUPBS8B,"healthfab gopadfree reusable leak-proof period panty usable for 2 years without pads, black",healthfab,hygiene and wellness,hygiene and wellness,4.66,611
Q62CA6BPTV,"healthfab gopadfree reusable leak-proof period panty usable for 2 years without pads, black",healthfab,hygiene and wellness,hygiene and wellness,4.66,611
RP8T79FZI6,"healthfab gopadfree reusable leak-proof period panty usable for 2 years without pads, black",healthfab,hygiene and wellness,hygiene and wellness,4.66,611
M6XFB7P9SC,"healthfab gopadfree reusable leak-proof period panty usable for 2 years without pads, black",healthfab,hygiene and wellness,hygiene and wellness,4.66,611
OAAM6WIO61,"healthfab gopadfree reusable leak-proof period panty usable for 2 years without pads, black",healthfab,hygiene and wellness,hygiene and wellness,4.66,611
S5OU330474,"healthfab gopadfree reusable leak-proof period panty usable for 2 years without pads, black",healthfab,hygiene and wellness,hygiene and wellness,4.66,611
Y8SQ3TWHR8,"healthfab gopadfree reusable leak-proof period panty usable for 2 years without pads, black",healthfab,hygiene and wellness,hygiene and wellness,4.66,611
9RG18WJFA3,"healthfab gopadfree reusable leak-proof period panty usable for 2 years without pads, black",healthfab,hygiene and wellness,hygiene and wellness,4.66,611
