search_string,canonical_term,l1_category,l2_category,emerging_score,confidence,passed_gates,m0_volume,mom_search_growth,mom_sales_growth,availability_pct,demand_gap,typed_pct,trend_stability_score,seasonality_flag,tags
mysore soap,mysore soap,bath body and hair,soap,70.49,Medium,True,60292.0,1644.56,0.0,70.67,13484791.84,7.19,100.0,SEASONAL_NORMAL,DEMAND_SURGE|AUTOSUGGEST_DRIVEN|STABLE_UP
body scrubber,body scrubber,beauty and grooming,beauty accessories,66.69,Medium,True,10427.0,106.56,0.0,14.29,33566429.16,11.51,75.0,SEASONAL_NORMAL,SUPPLY_CONSTRAINED|DEMAND_SURGE|AUTOSUGGEST_DRIVEN|ACCELERATING
durex,durex,hygiene and wellness,sexual wellness,65.24,Medium,True,27556.0,968.48,0.0,79.24,9806845.06,11.22,75.0,SEASONAL_NORMAL,DEMAND_SURGE|AUTOSUGGEST_DRIVEN|ACCELERATING
panty liner,panty liner,hygiene and wellness,feminine hygiene,64.51,Medium,True,18458.0,23.7,0.0,63.03,49135656.25,11.56,100.0,SEASONAL_NORMAL,SUPPLY_CONSTRAINED|AUTOSUGGEST_DRIVEN|STABLE_UP
loofah,loofah,beauty and grooming,beauty accessories,62.57,Medium,True,83430.0,23.42,0.0,14.29,33566429.16,12.91,75.0,SEASONAL_NORMAL,SUPPLY_CONSTRAINED|AUTOSUGGEST_DRIVEN|ACCELERATING
mars lip liner,mars lip liner,makeup,lip makeup,61.25,Medium,True,10422.0,660.18,0.0,88.47,8747.92,18.78,75.0,SEASONAL_NORMAL,DEMAND_SURGE|AUTOSUGGEST_DRIVEN|ACCELERATING
pad,pad,hygiene and wellness,feminine hygiene,60.39,Medium,False,88172.0,15.05,0.0,63.03,49135656.25,23.56,75.0,SEASONAL_NORMAL,SUPPLY_CONSTRAINED|AUTOSUGGEST_DRIVEN|ACCELERATING
nua,nua,hygiene and wellness,feminine hygiene,60.17,Medium,False,126704.0,9.92,0.0,63.03,49135656.25,15.08,75.0,SEASONAL_NORMAL,SUPPLY_CONSTRAINED|AUTOSUGGEST_DRIVEN|ACCELERATING
whisper,whisper,hygiene and wellness,feminine hygiene,60.12,Medium,False,191309.0,8.82,0.0,63.03,49135656.25,10.12,75.0,SEASONAL_NORMAL,SUPPLY_CONSTRAINED|AUTOSUGGEST_DRIVEN|ACCELERATING
stayfree,stayfree,hygiene and wellness,feminine hygiene,60.02,Medium,False,164044.0,6.52,0.0,63.03,49135656.25,9.9,75.0,SEASONAL_NORMAL,SUPPLY_CONSTRAINED|AUTOSUGGEST_DRIVEN|ACCELERATING
period panties,period panties,hygiene and wellness,feminine hygiene,60.02,Medium,False,137655.0,6.42,0.0,63.03,49135656.25,10.26,75.0,SEASONAL_NORMAL,SUPPLY_CONSTRAINED|AUTOSUGGEST_DRIVEN|ACCELERATING
pads,pads,hygiene and wellness,feminine hygiene,59.98,Medium,False,232880.0,5.53,0.0,63.03,49135656.25,18.38,75.0,SEASONAL_NORMAL,SUPPLY_CONSTRAINED|AUTOSUGGEST_DRIVEN|ACCELERATING
sanitary pads,sanitary pads,hygiene and wellness,feminine hygiene,59.96,Medium,False,280571.0,7.45,0.0,63.03,49135656.25,10.12,75.0,SEASONAL_NORMAL,SUPPLY_CONSTRAINED|AUTOSUGGEST_DRIVEN|ACCELERATING
sofy,sofy,hygiene and wellness,feminine hygiene,59.79,Medium,False,64457.0,1.2,0.0,63.03,49135656.25,13.31,75.0,SEASONAL_NORMAL,SUPPLY_CONSTRAINED|AUTOSUGGEST_DRIVEN|ACCELERATING
sensodyne toothbrush,sensodyne toothbrush,hygiene and wellness,oral care,57.98,Medium,False,19600.0,16.94,0.0,59.26,33805924.82,8.33,100.0,SEASONAL_NORMAL,SUPPLY_CONSTRAINED|AUTOSUGGEST_DRIVEN|STABLE_UP
brush,brush,hygiene and wellness,oral care,57.51,Medium,False,86408.0,6.03,0.0,59.26,33805924.82,21.25,100.0,SEASONAL_NORMAL,SUPPLY_CONSTRAINED|AUTOSUGGEST_DRIVEN|STABLE_UP
sexual wellness,sexual wellness,hygiene and wellness,sexual wellness,54.67,Medium,True,50683.0,254.2,0.0,79.24,9806845.06,15.45,75.0,SEASONAL_NORMAL,DEMAND_SURGE|AUTOSUGGEST_DRIVEN|ACCELERATING
anti dandruff,anti dandruff,bath body and hair,shampoo and conditioner,54.39,Medium,False,26805.0,7.65,0.0,73.18,25957139.62,7.28,100.0,SEASONAL_NORMAL,AUTOSUGGEST_DRIVEN|STABLE_UP
mehendi,mehendi,beauty and grooming,hair colour,54.32,Medium,True,16070.0,250.8,0.0,76.6,94342.32,9.54,100.0,SEASONAL_NORMAL,DEMAND_SURGE|AUTOSUGGEST_DRIVEN|STABLE_UP
l'oreal paris,l'oreal paris,bath body and hair,shampoo and conditioner,53.96,Medium,True,17146.0,84.92,0.0,73.18,25957139.62,7.79,75.0,SEASONAL_NORMAL,HIGH_GROWTH|AUTOSUGGEST_DRIVEN|ACCELERATING
tresemme shampoo,tresemme shampoo,bath body and hair,shampoo and conditioner,53.94,Medium,True,12912.0,84.35,0.0,73.18,25957139.62,7.2,75.0,SEASONAL_NORMAL,HIGH_GROWTH|AUTOSUGGEST_DRIVEN|ACCELERATING
nail clipper,nail clipper,makeup,makeup brushes and tools,53.87,Medium,True,17396.0,287.96,0.0,56.77,4271526.83,9.51,75.0,SEASONAL_NORMAL,SUPPLY_CONSTRAINED|DEMAND_SURGE|AUTOSUGGEST_DRIVEN|ACCELERATING
tongue cleaner,tongue cleaner,hygiene and wellness,oral care,53.76,Medium,False,117519.0,5.93,0.0,59.26,33805924.82,11.6,75.0,SEASONAL_NORMAL,SUPPLY_CONSTRAINED|AUTOSUGGEST_DRIVEN|ACCELERATING
colgate,colgate,hygiene and wellness,oral care,53.69,Medium,False,237025.0,4.46,0.0,59.26,33805924.82,11.38,75.0,SEASONAL_NORMAL,SUPPLY_CONSTRAINED|AUTOSUGGEST_DRIVEN|ACCELERATING
paste,paste,hygiene and wellness,oral care,53.66,Medium,False,104136.0,3.67,0.0,59.26,33805924.82,15.54,75.0,SEASONAL_NORMAL,SUPPLY_CONSTRAINED|AUTOSUGGEST_DRIVEN|ACCELERATING
